P22,P2002,P3,P2,P1304,P2004,P28,P803,P1303,P27,P1301,P25,P23,P802,P0A,P2001,P801,P1,CAPITAL,CCAA,P14R,P26,P4,P804,P19,TAMUNI,P1302,ESTUDIOS,P2003
1,4,-3,-3,4,7,2,-4,4,1,2,1,31,-3,1,8,-4,-3,1,16,2,6,3,-4,4,5,7,5,3
1,3,-4,-3,0,8,2,-3,5,1,0,1,46,-4,1,10,-4,-2,1,16,97,2,3,-4,5,5,3,2,3
2,3,-4,-1,5,8,2,-5,0,1,6,1,46,-4,2,8,-2,-2,1,16,1,2,4,-3,5,5,3,6,1
1,4,-3,-4,0,8,2,-3,0,1,0,1,54,-3,1,8,-4,-3,1,16,11,1,3,-3,5,5,0,4,4
1,4,-3,-4,4,6,1,-4,2,1,3,1,41,-4,1,7,-4,-3,1,16,11,2,3,-3,6,5,3,6,3
1,4,-4,-4,2,6,1,-2,7,2,0,1,31,-2,2,7,-4,-3,1,16,2,5,3,-4,2,5,7,6,2
2,6,-4,-1,0,9,1,-2,0,1,0,1,60,-3,1,8,-5,-2,1,16,12,4,4,-4,2,5,0,5,3
2,7,-2,-3,2,2,1,-4,1,1,6,1,31,-2,1,8,-2,-1,1,16,2,1,3,-3,6,5,5,5,1
1,5,-5,-4,2,9,1,-3,5,1,2,1,40,-3,1,8,-4,-3,1,16,97,2,5,-4,5,5,5,6,3
2,1,-5,-2,0,8,1,-5,0,1,0,2,66,-4,1,10,-3,-4,1,16,11,2,3,-3,6,5,0,5,2
2,4,-4,-3,0,9,2,-5,0,1,10,2,75,-4,1,9,-3,-3,1,16,1,1,3,-3,5,5,0,6,1
2,5,-5,-1,0,10,1,-3,4,1,0,6,31,-4,1,9,-5,-2,1,16,5,5,5,-5,2,5,0,6,3
1,2,-2,-1,0,9,1,-2,0,1,0,2,72,-2,1,10,-5,-2,1,16,2,2,3,-4,1,5,10,6,2
1,5,-4,-1,0,7,1,-3,0,1,0,2,63,-3,1,8,-5,-2,1,16,12,5,4,-5,2,5,0,5,3
1,6,-5,-1,6,7,2,-5,8,2,0,1,32,-5,1,7,-5,-2,1,16,97,2,5,-2,4,5,7,5,2
2,5,-5,-1,0,10,1,-4,6,1,0,6,21,-5,1,10,-5,-2,1,16,5,5,5,-5,2,5,0,4,3
2,7,-5,-1,0,9,1,-1,10,1,0,1,51,-3,1,10,-4,-1,1,16,3,5,4,-4,1,5,0,5,4
1,5,-5,-4,0,10,2,-5,0,1,0,1,59,-5,1,10,-5,-4,1,16,11,5,4,-5,3,5,0,4,5
2,1,-4,-2,1,8,1,-5,1,1,0,1,51,-4,1,10,-4,-2,1,16,11,2,5,-4,6,5,2,5,2
2,7,-4,-1,0,9,2,-4,0,1,0,1,21,-4,1,10,-4,-1,1,16,12,5,4,-4,1,5,0,6,5
1,5,-5,-4,4,10,1,-3,6,1,3,2,54,-3,1,10,-4,-4,1,16,2,2,3,-4,5,5,8,2,3
1,4,-3,-1,0,8,2,-4,0,1,0,6,18,-4,1,1,-3,-2,1,16,2,5,3,-4,4,5,5,3,1
2,3,-3,-4,5,7,1,-4,0,1,4,2,65,-4,1,8,-3,-4,1,16,97,2,3,-2,5,5,2,2,1
2,6,-5,-3,0,8,1,-3,4,2,0,1,30,-4,1,9,-5,-3,1,16,12,5,3,-5,2,5,2,6,3
1,5,-5,-4,2,5,1,-3,6,2,2,4,39,-4,1,7,-4,-3,1,16,3,5,5,-4,3,5,4,5,3
2,5,-3,-2,4,5,1,-4,3,1,2,1,60,-3,1,7,-4,-2,1,16,2,2,3,-3,4,5,7,6,2
1,4,-3,-2,5,5,1,-5,2,2,4,1,60,-2,1,7,-4,-2,1,16,2,2,2,-4,4,5,8,5,2
